学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
四川大学,微电子科学与工程,637,639,646,2022,理科,本科一批,5321,515,电子信息类
四川大学,基础医学,637,647,655,2022,理科,本科一批,5321,515,基础医学类
四川大学,医学技术类,637,641,645,2022,理科,本科一批,5321,515,医学技术类
四川大学,经济学类,636,638,642,2022,理科,本科一批,5549,515,经济学类
四川大学,电子信息类,636,638,644,2022,理科,本科一批,5549,515,电子信息类
四川大学,新闻传播学类,636,638,639,2022,理科,本科一批,5549,515,新闻传播学类
四川大学,口腔医学技术,636,636,636,2022,理科,本科一批,5549,515,医学技术类
四川大学,医学技术类,636,636,637,2022,理科,本科一批,5549,515,医学技术类
四川大学,预防医学,635,642,649,2022,理科,本科一批,5777,515,公共卫生与预防医学类
四川大学,预防医学,635,640,653,2022,理科,本科一批,5777,515,公共卫生与预防医学类
四川大学,金融学类,635,638,653,2022,理科,本科一批,5777,515,金融学类
四川大学,物理学类,635,637,651,2022,理科,本科一批,5777,515,物理学类
四川大学,法学,635,638,643,2022,理科,本科一批,5777,515,法学类
四川大学,建筑学,635,637,638,2022,理科,本科一批,5777,515,建筑类
四川大学,土木工程,635,636,637,2022,理科,本科一批,5777,515,土木类
四川大学,口腔医学技术,635,636,638,2022,理科,本科一批,5777,515,医学技术类
四川大学,化学类,635,642,656,2022,理科,本科一批,5777,515,化学类
四川大学,会计学,635,639,652,2022,理科,本科一批,5777,515,工商管理类
四川大学,临床药学,635,640,655,2022,理科,本科一批,5777,515,药学类
四川大学,电气类,629,633,646,2022,理科,本科一批,7294,515,电气类
四川大学,高分子材料与工程,625,629,644,2022,理科,本科一批,8460,515,材料类
四川大学,材料类,621,625,636,2022,理科,本科一批,9724,515,材料类
四川大学,口腔医学,689,691,693,2023,理科,本科一批,222,520,口腔医学类
四川大学,口腔医学,680,684,687,2023,理科,本科一批,626,520,口腔医学类
四川大学,临床医学,677,683,689,2023,理科,本科一批,783,520,临床医学类
四川大学,网络空间安全,658,660,661,2023,理科,本科一批,2983,520,计算机类
四川大学,数学与应用数学,656,660,666,2023,理科,本科一批,3351,520,数学类
四川大学,计算机科学与技术,652,655,664,2023,理科,本科一批,4062,520,计算机类
四川大学,数学与应用数学,652,655,664,2023,理科,本科一批,4062,520,数学类
四川大学,数学与应用数学,651,655,665,2023,理科,本科一批,4263,520,数学类
四川大学,生物医学工程,648,653,661,2023,理科,本科一批,4894,520,生物医学工程类
四川大学,生物科学,648,652,655,2023,理科,本科一批,4894,520,生物科学类
四川大学,数学类,648,651,655,2023,理科,本科一批,4894,520,数学类
四川大学,核工程与核技术,647,651,659,2023,理科,本科一批,5112,520,核工程类
四川大学,航空航天类,646,648,654,2023,理科,本科一批,5364,520,航空航天类
四川大学,计算机类,646,649,660,2023,理科,本科一批,5364,520,计算机类
